[02/15/2026 14:05:21] ACTION: Switched to ECONOMIA DE ENERGIA
ðŸ„ 14:05:24 | CPU:  54% | Media:  42%
[02/15/2026 14:05:25] ACTION: Switched to EQUILIBRADO
ðŸ„ 14:05:28 | CPU:  28% | Media:  40%
ðŸ„ 14:05:31 | CPU:  50% | Media:  41%
ðŸ„ 14:05:34 | CPU:  30% | Media:  39%
[02/15/2026 14:05:34] ACTION: Switched to ECONOMIA DE ENERGIA
ðŸ„ 14:05:37 | CPU:  62% | Media:  39%
ðŸ„ 14:05:41 | CPU:  74% | Media:  43%
[02/15/2026 14:05:41] ACTION: Switched to EQUILIBRADO
ðŸ„ 14:05:44 | CPU:  26% | Media:  42%
ðŸ„ 14:05:48 | CPU:  57% | Media:  45%
ðŸ„ 14:05:51 | CPU:  29% | Media:  43%
ðŸ„ 14:05:54 | CPU:  27% | Media:  44%
ðŸ„ 14:05:57 | CPU:  63% | Media:  45%
ðŸ„ 14:06:00 | CPU:  71% | Media:  49%
ðŸ„ 14:06:03 | CPU:  63% | Media:  50%
ðŸ„ 14:06:06 | CPU:  70% | Media:  54%
ðŸ„ 14:06:09 | CPU:  42% | Media:  52%
ðŸ„ 14:06:12 | CPU:  33% | Media:  48%
ðŸ„ 14:06:15 | CPU:  37% | Media:  49%
ðŸ„ 14:06:19 | CPU:  34% | Media:  47%
ðŸ„ 14:06:22 | CPU:  47% | Media:  49%
ðŸ„ 14:06:25 | CPU:  46% | Media:  51%
ðŸ„ 14:06:28 | CPU:  20% | Media:  46%
ðŸ„ 14:06:31 | CPU:  37% | Media:  43%
ðŸ„ 14:06:34 | CPU:  50% | Media:  42%
ðŸ„ 14:06:37 | CPU:  51% | Media:  40%
ðŸ„ 14:06:40 | CPU:  66% | Media:  42%
